gsm,type,geo_id,platform.new,drug_name,DiseaseState,cell_type,TissueID,TissueName,ale_text_sex,ale_expr_sex,ale_expr_sex_post,cell_line
GSM1230764,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.755415599,NA
GSM1230765,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.724908687,NA
GSM1230766,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.693140791,NA
GSM1300273,ctrl,GSE53765,GPL6244,carbon nanotube|oxane|poly(methyl acrylate) macromolecule|single-walled carbon nanotube|water,0,Cells [Chemical/Ingredient]|Cultured Cell Line|macrophage|Monocytes,1370,THP-1 cell,,male,0.999791465,TRUE
GSM1300274,ctrl,GSE53765,GPL6244,carbon nanotube|oxane|poly(methyl acrylate) macromolecule|single-walled carbon nanotube|water,0,Cells [Chemical/Ingredient]|Cultured Cell Line|macrophage|Monocytes,1370,THP-1 cell,,male,0.999786318,TRUE
GSM827016,ctrl,GSE33443,GPL6244,,0,"Cells [Chemical/Ingredient]|Cultured Cell Line|MCF-7 Cells|Tumor cells, malignant",93,MCF-7 cell,,female,0.795415783,TRUE
GSM827019,ctrl,GSE33443,GPL6244,,0,"Cells [Chemical/Ingredient]|Cultured Cell Line|MCF-7 Cells|Tumor cells, malignant",93,MCF-7 cell,,female,0.919435462,TRUE
GSM827022,ctrl,GSE33443,GPL6244,,0,"Cells [Chemical/Ingredient]|Cultured Cell Line|MCF-7 Cells|Tumor cells, malignant",93,MCF-7 cell,,male,0.561846729,TRUE
GSM824453,ctrl,GSE33340,GPL6883,inhibitor|ligand,0,Body tissue|Cells [Chemical/Ingredient]|Cultured Cell Line|Entire breast|Epithelial Cells,149,breast,,NA,NA,FALSE
GSM824454,ctrl,GSE33340,GPL6883,inhibitor|ligand,0,Body tissue|Cells [Chemical/Ingredient]|Cultured Cell Line|Entire breast|Epithelial Cells,149,breast,,NA,NA,FALSE
GSM829892,ctrl,GSE33562,GPL570,dexamethasone|dimethyl sulfoxide|glucocorticoid|inhibitor,NA,Cells [Chemical/Ingredient]|Cultured Cell Line|lymphoblast|T-Lymphocyte,NA,NA,NA,female,0.693892566,NA
GSM829893,ctrl,GSE33562,GPL570,dexamethasone|dimethyl sulfoxide|glucocorticoid|inhibitor,NA,Cells [Chemical/Ingredient]|Cultured Cell Line|lymphoblast|T-Lymphocyte,NA,NA,NA,female,0.526716963,NA
GSM673987,ctrl,GSE27263,GPL570,formaldehyde,0,Blood|Blood specimen|Body tissue|Nose,89,blood,M,male,0.956062161,FALSE
GSM673989,ctrl,GSE27263,GPL570,formaldehyde,0,Blood|Blood specimen|Body tissue|Nose,89,blood,M,male,0.950845839,FALSE
GSM673991,ctrl,GSE27263,GPL570,formaldehyde,0,Blood|Blood specimen|Body tissue|Nose,89,blood,M,male,0.960141499,FALSE
GSM673993,ctrl,GSE27263,GPL570,formaldehyde,0,Blood|Blood specimen|Body tissue|Nose,89,blood,M,male,0.969880778,FALSE
GSM1975485,ctrl,GSE76163,GPL11532,agonist|methyl cellulose|N(6)-(1-carboxyethyl)-L-lysine,NA,Body tissue|Entire liver|Liver parenchyma|Oral cavity,NA,NA,NA,NA,NA,NA
GSM1975502,ctrl,GSE76163,GPL11532,agonist|methyl cellulose|N(6)-(1-carboxyethyl)-L-lysine,NA,Body tissue|Entire liver|Liver parenchyma|Oral cavity,NA,NA,NA,NA,NA,NA
GSM1975505,ctrl,GSE76163,GPL11532,agonist|methyl cellulose|N(6)-(1-carboxyethyl)-L-lysine,NA,Body tissue|Entire liver|Liver parenchyma|Oral cavity,NA,NA,NA,NA,NA,NA
GSM1972948,ctrl,GSE76022,GPL570,RAINE SYNDROME|reactive nitrogen species|reactive oxygen species,1,"Body tissue|Cells [Chemical/Ingredient]|Cultured Cell Line|Monocytes|Plasma|Tumor cells, malignant|U937 Cells",104,lymphoma cell line,M,female,0.636289473,TRUE
GSM1972949,ctrl,GSE76022,GPL570,RAINE SYNDROME|reactive nitrogen species|reactive oxygen species,1,"Body tissue|Cells [Chemical/Ingredient]|Cultured Cell Line|Monocytes|Plasma|Tumor cells, malignant|U937 Cells",104,lymphoma cell line,M,female,0.517457318,TRUE
GSM422126,ctrl,GSE16837,GPL570,methicillin|oligonucleotide,0,Cells|Leukocytes|neutrophil,3473,polymorphonuclear neutrophil,,female,0.863788335,FALSE
GSM422127,ctrl,GSE16837,GPL570,methicillin|oligonucleotide,0,Cells|Leukocytes|neutrophil,3473,polymorphonuclear neutrophil,,male,0.799640055,FALSE
GSM422128,ctrl,GSE16837,GPL570,methicillin|oligonucleotide,0,Cells|Leukocytes|neutrophil,3473,polymorphonuclear neutrophil,,male,0.65939392,FALSE
GSM422129,ctrl,GSE16837,GPL570,methicillin|oligonucleotide,0,Cells|Leukocytes|neutrophil,3473,polymorphonuclear neutrophil,,female,0.854493874,FALSE
GSM198910,ctrl,GSE8057,GPL8300,cisplatin|oxaliplatin|platinum,1,"Cells [Chemical/Ingredient]|Ovarian|Tumor cells, malignant",1023,ovary cancer cell,F,NA,NA,FALSE
GSM198911,ctrl,GSE8057,GPL8300,cisplatin|oxaliplatin|platinum,1,"Cells [Chemical/Ingredient]|Ovarian|Tumor cells, malignant",1023,ovary cancer cell,F,NA,NA,FALSE
