,gsm,type,geo_id,platform.new,drug_name,DiseaseState,cell_type,TissueID,TissueName,ale_text_sex,ale_expr_sex,ale_expr_sex_post,cell_line
31,GSM1230764,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.755415599,NA
32,GSM1230765,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.724908687,NA
33,GSM1230766,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.693140791,NA
34,GSM829892,ctrl,GSE33562,GPL570,dexamethasone|dimethyl sulfoxide|glucocorticoid|inhibitor,NA,Cells [Chemical/Ingredient]|Cultured Cell Line|lymphoblast|T-Lymphocyte,NA,NA,NA,female,0.693892566,NA
35,GSM829893,ctrl,GSE33562,GPL570,dexamethasone|dimethyl sulfoxide|glucocorticoid|inhibitor,NA,Cells [Chemical/Ingredient]|Cultured Cell Line|lymphoblast|T-Lymphocyte,NA,NA,NA,female,0.526716963,NA
36,GSM673987,ctrl,GSE27263,GPL570,formaldehyde,0,Blood|Blood specimen|Body tissue|Nose,89,blood,M,male,0.956062161,FALSE
37,GSM673989,ctrl,GSE27263,GPL570,formaldehyde,0,Blood|Blood specimen|Body tissue|Nose,89,blood,M,male,0.950845839,FALSE
38,GSM673991,ctrl,GSE27263,GPL570,formaldehyde,0,Blood|Blood specimen|Body tissue|Nose,89,blood,M,male,0.960141499,FALSE
39,GSM673993,ctrl,GSE27263,GPL570,formaldehyde,0,Blood|Blood specimen|Body tissue|Nose,89,blood,M,male,0.969880778,FALSE
40,GSM422126,ctrl,GSE16837,GPL570,methicillin|oligonucleotide,0,Cells|Leukocytes|neutrophil,3473,polymorphonuclear neutrophil,,female,0.863788335,FALSE
41,GSM422127,ctrl,GSE16837,GPL570,methicillin|oligonucleotide,0,Cells|Leukocytes|neutrophil,3473,polymorphonuclear neutrophil,,male,0.799640055,FALSE
42,GSM422128,ctrl,GSE16837,GPL570,methicillin|oligonucleotide,0,Cells|Leukocytes|neutrophil,3473,polymorphonuclear neutrophil,,male,0.65939392,FALSE
43,GSM422129,ctrl,GSE16837,GPL570,methicillin|oligonucleotide,0,Cells|Leukocytes|neutrophil,3473,polymorphonuclear neutrophil,,female,0.854493874,FALSE
44,GSM1230710,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.891459556,NA
45,GSM1230711,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.901403806,NA
46,GSM1230712,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.792284649,NA
47,GSM1230836,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,male,0.560018128,NA
48,GSM1230837,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,male,0.504773606,NA
49,GSM1230838,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.500095126,NA
50,GSM1093802,ctrl,GSE44905,GPL570,androgen|enzalutamide|inhibitor|N(6)-(1-carboxyethyl)-L-lysine,1,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Left supraclavicular lymph node|Prostate,1130,prostate gland cancer cell,M,male,0.978905518,FALSE
51,GSM1093803,ctrl,GSE44905,GPL570,androgen|enzalutamide|inhibitor|N(6)-(1-carboxyethyl)-L-lysine,1,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Left supraclavicular lymph node|Prostate,1130,prostate gland cancer cell,M,male,0.984146052,FALSE
52,GSM1093804,ctrl,GSE44905,GPL570,androgen|enzalutamide|inhibitor|N(6)-(1-carboxyethyl)-L-lysine,1,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Left supraclavicular lymph node|Prostate,1130,prostate gland cancer cell,M,male,0.991186952,FALSE
53,GSM1093805,ctrl,GSE44905,GPL570,androgen|enzalutamide|inhibitor|N(6)-(1-carboxyethyl)-L-lysine,1,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Left supraclavicular lymph node|Prostate,1130,prostate gland cancer cell,M,male,0.964194561,FALSE
54,GSM1093806,ctrl,GSE44905,GPL570,androgen|enzalutamide|inhibitor|N(6)-(1-carboxyethyl)-L-lysine,1,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Left supraclavicular lymph node|Prostate,1130,prostate gland cancer cell,M,male,0.96714375,FALSE
55,GSM1093807,ctrl,GSE44905,GPL570,androgen|enzalutamide|inhibitor|N(6)-(1-carboxyethyl)-L-lysine,1,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Left supraclavicular lymph node|Prostate,1130,prostate gland cancer cell,M,male,0.988778117,FALSE
56,GSM1095989,ctrl,GSE45029,GPL570,doxycycline,0,Cells|Cultured Cell Line|Entire breast|Epithelial Cells,1211,breast epithelial cell,,female,0.795357725,FALSE
57,GSM1095990,ctrl,GSE45029,GPL570,doxycycline,0,Cells|Cultured Cell Line|Entire breast|Epithelial Cells,1211,breast epithelial cell,,female,0.780396861,FALSE
58,GSM1095991,ctrl,GSE45029,GPL570,doxycycline,0,Cells|Cultured Cell Line|Entire breast|Epithelial Cells,1211,breast epithelial cell,,female,0.799950255,FALSE
59,GSM1376332,ctrl,GSE57156,GPL570,dimethyl sulfoxide|erlotinib,NA,Cells [Chemical/Ingredient]|Cultured Cell Line|Entire cell|Lung,NA,NA,NA,male,0.930900766,NA
60,GSM1376333,ctrl,GSE57156,GPL570,dimethyl sulfoxide|erlotinib,NA,Cells [Chemical/Ingredient]|Cultured Cell Line|Entire cell|Lung,NA,NA,NA,male,0.890312561,NA
61,GSM1376336,ctrl,GSE57156,GPL570,dimethyl sulfoxide|erlotinib,NA,Cells [Chemical/Ingredient]|Cultured Cell Line|Entire cell|Lung,NA,NA,NA,female,0.795133644,NA
62,GSM1376337,ctrl,GSE57156,GPL570,dimethyl sulfoxide|erlotinib,NA,Cells [Chemical/Ingredient]|Cultured Cell Line|Entire cell|Lung,NA,NA,NA,female,0.883599628,NA
63,GSM1230782,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.982440798,NA
64,GSM1230783,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.950875626,NA
65,GSM1230784,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.963231201,NA
66,GSM1230622,ctrl,GSE50830,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",,female,0.92208044,NA
67,GSM1230623,ctrl,GSE50830,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",,female,0.879127295,NA
68,GSM1230746,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.667578199,NA
69,GSM1230747,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.764193582,NA
70,GSM1230748,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.736872076,NA
71,GSM1230755,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.893640095,NA
72,GSM1230756,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.871139661,NA
73,GSM1230757,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.893550392,NA
74,GSM672217,ctrl,GSE27208,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.850667298,FALSE
75,GSM672218,ctrl,GSE27208,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.76579147,FALSE
76,GSM672219,ctrl,GSE27208,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.879934135,FALSE
77,GSM672247,ctrl,GSE27210,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.952718593,FALSE
78,GSM672248,ctrl,GSE27210,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.94607425,FALSE
79,GSM672249,ctrl,GSE27210,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.97003856,FALSE
80,GSM1196690,ctrl,GSE49284,GPL570,adenosyl group|biomarker|dimethyl sulfoxide|histone|inhibitor|L-methionine|lysine,NA,Body tissue|Cultured Cell Line|Entire cell|Lymphoma cells|Oral cavity|Protoplasm,NA,NA,NA,female,0.638630201,NA
81,GSM1196691,ctrl,GSE49284,GPL570,adenosyl group|biomarker|dimethyl sulfoxide|histone|inhibitor|L-methionine|lysine,NA,Body tissue|Cultured Cell Line|Entire cell|Lymphoma cells|Oral cavity|Protoplasm,NA,NA,NA,female,0.601309766,NA
82,GSM1196692,ctrl,GSE49284,GPL570,adenosyl group|biomarker|dimethyl sulfoxide|histone|inhibitor|L-methionine|lysine,NA,Body tissue|Cultured Cell Line|Entire cell|Lymphoma cells|Oral cavity|Protoplasm,NA,NA,NA,female,0.501098488,NA
83,GSM1196726,ctrl,GSE49284,GPL570,adenosyl group|biomarker|dimethyl sulfoxide|histone|inhibitor|L-methionine|lysine,NA,Body tissue|Cultured Cell Line|Entire cell|Lymphoma cells|Oral cavity|Protoplasm,NA,NA,NA,male,0.523853379,NA
84,GSM1196727,ctrl,GSE49284,GPL570,adenosyl group|biomarker|dimethyl sulfoxide|histone|inhibitor|L-methionine|lysine,NA,Body tissue|Cultured Cell Line|Entire cell|Lymphoma cells|Oral cavity|Protoplasm,NA,NA,NA,male,0.552211488,NA
85,GSM1196728,ctrl,GSE49284,GPL570,adenosyl group|biomarker|dimethyl sulfoxide|histone|inhibitor|L-methionine|lysine,NA,Body tissue|Cultured Cell Line|Entire cell|Lymphoma cells|Oral cavity|Protoplasm,NA,NA,NA,male,0.529060389,NA
86,GSM1196762,ctrl,GSE49284,GPL570,adenosyl group|biomarker|dimethyl sulfoxide|histone|inhibitor|L-methionine|lysine,NA,Body tissue|Cultured Cell Line|Entire cell|Lymphoma cells|Oral cavity|Protoplasm,NA,NA,NA,male,0.514236925,NA
87,GSM1196763,ctrl,GSE49284,GPL570,adenosyl group|biomarker|dimethyl sulfoxide|histone|inhibitor|L-methionine|lysine,NA,Body tissue|Cultured Cell Line|Entire cell|Lymphoma cells|Oral cavity|Protoplasm,NA,NA,NA,female,0.617194568,NA
88,GSM1196764,ctrl,GSE49284,GPL570,adenosyl group|biomarker|dimethyl sulfoxide|histone|inhibitor|L-methionine|lysine,NA,Body tissue|Cultured Cell Line|Entire cell|Lymphoma cells|Oral cavity|Protoplasm,NA,NA,NA,female,0.574545129,NA
89,GSM133018,ctrl,GSE5716,GPL570,dimethyl sulfoxide|inhibitor,1,Cultured Cell Line|lymphoblast|T-Lymphocyte,1106,T-cell acute lymphoblastic leukemia cell,,female,0.737332213,FALSE
90,GSM133019,ctrl,GSE5716,GPL570,dimethyl sulfoxide|inhibitor,1,Cultured Cell Line|lymphoblast|T-Lymphocyte,1106,T-cell acute lymphoblastic leukemia cell,,female,0.819093082,FALSE
91,GSM133020,ctrl,GSE5716,GPL570,dimethyl sulfoxide|inhibitor,1,Cultured Cell Line|lymphoblast|T-Lymphocyte,1106,T-cell acute lymphoblastic leukemia cell,,female,0.666167729,FALSE
92,GSM133021,ctrl,GSE5716,GPL570,dimethyl sulfoxide|inhibitor,1,Cultured Cell Line|lymphoblast|T-Lymphocyte,1106,T-cell acute lymphoblastic leukemia cell,,female,0.546242179,FALSE
93,GSM410666,ctrl,GSE16357,GPL570,,0,Cells|Lymphatic Endothelial Cells,4167,lymphatic endothelial cell,,male,0.949490031,FALSE
94,GSM410667,ctrl,GSE16357,GPL570,,0,Cells|Lymphatic Endothelial Cells,4167,lymphatic endothelial cell,,male,0.932325697,FALSE
95,GSM410668,ctrl,GSE16357,GPL570,,0,Cells|Lymphatic Endothelial Cells,4167,lymphatic endothelial cell,,male,0.920693582,FALSE
96,GSM410669,ctrl,GSE16357,GPL570,,0,Cells|Lymphatic Endothelial Cells,4167,lymphatic endothelial cell,,male,0.925702227,FALSE
97,GSM410670,ctrl,GSE16357,GPL570,,0,Cells|Lymphatic Endothelial Cells,4167,lymphatic endothelial cell,,male,0.914552227,FALSE
98,GSM410671,ctrl,GSE16357,GPL570,,0,Cells|Lymphatic Endothelial Cells,4167,lymphatic endothelial cell,,male,0.868118745,FALSE
99,GSM363385,ctrl,GSE14519,GPL570,arsenic atom|diarsenic trioxide,0,Cells [Chemical/Ingredient]|Cultured Cell Line|Myeloma cell,898,myeloma cell,,male,0.704813031,FALSE
100,GSM363406,ctrl,GSE14519,GPL570,arsenic atom|diarsenic trioxide,0,Cells [Chemical/Ingredient]|Cultured Cell Line|Myeloma cell,898,myeloma cell,,female,0.669141979,FALSE
101,GSM1230569,ctrl,GSE50830,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",,female,0.945386301,NA
102,GSM1230570,ctrl,GSE50830,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",,female,0.945325538,NA
103,GSM672322,ctrl,GSE27210,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.94279146,FALSE
104,GSM672323,ctrl,GSE27210,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.95803608,FALSE
105,GSM672324,ctrl,GSE27210,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.936948192,FALSE
106,GSM1230604,ctrl,GSE50830,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",,female,0.68737826,NA
107,GSM1230605,ctrl,GSE50830,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",,female,0.755521357,NA
108,GSM1230606,ctrl,GSE50830,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",,female,0.805224632,NA
109,GSM536433,ctrl,GSE21477,GPL570,formaldehyde,NA,Cells|Epithelial Cells|Nose,NA,NA,NA,female,0.678193647,NA
110,GSM536436,ctrl,GSE21477,GPL570,formaldehyde,NA,Cells|Epithelial Cells|Nose,NA,NA,NA,female,0.501677813,NA
111,GSM536439,ctrl,GSE21477,GPL570,formaldehyde,NA,Cells|Epithelial Cells|Nose,NA,NA,NA,female,0.546102205,NA
112,GSM1230542,ctrl,GSE50830,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",,female,0.70267652,NA
113,GSM1230543,ctrl,GSE50830,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",,female,0.805151723,NA
114,GSM1230544,ctrl,GSE50830,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",,female,0.718214289,NA
115,GSM672253,ctrl,GSE27210,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.916402748,FALSE
116,GSM672254,ctrl,GSE27210,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.862737531,FALSE
117,GSM672255,ctrl,GSE27210,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.937345838,FALSE
118,GSM1230728,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.694473088,NA
119,GSM1230729,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.58548033,NA
120,GSM1230730,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.917856708,NA
121,GSM573756,ctrl,GSE23394,GPL570,,NA,B-Lymphocytes|Cultured Cell Line|Human Cell Line,NA,NA,NA,male,0.627207153,NA
122,GSM573757,ctrl,GSE23394,GPL570,,NA,B-Lymphocytes|Cultured Cell Line|Human Cell Line,NA,NA,NA,male,0.646787039,NA
123,GSM573758,ctrl,GSE23394,GPL570,,NA,B-Lymphocytes|Cultured Cell Line|Human Cell Line,NA,NA,NA,male,0.688055641,NA
124,GSM1376340,ctrl,GSE57156,GPL570,dimethyl sulfoxide|erlotinib,NA,Cells [Chemical/Ingredient]|Cultured Cell Line|Entire cell|Lung,NA,NA,NA,female,0.821778657,NA
125,GSM1376341,ctrl,GSE57156,GPL570,dimethyl sulfoxide|erlotinib,NA,Cells [Chemical/Ingredient]|Cultured Cell Line|Entire cell|Lung,NA,NA,NA,female,0.871653127,NA
126,GSM1376344,ctrl,GSE57156,GPL570,dimethyl sulfoxide|erlotinib,NA,Cells [Chemical/Ingredient]|Cultured Cell Line|Entire cell|Lung,NA,NA,NA,male,0.53754529,NA
127,GSM1376345,ctrl,GSE57156,GPL570,dimethyl sulfoxide|erlotinib,NA,Cells [Chemical/Ingredient]|Cultured Cell Line|Entire cell|Lung,NA,NA,NA,female,0.519155702,NA
128,GSM672076,ctrl,GSE27202,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.965940495,FALSE
129,GSM672082,ctrl,GSE27202,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.967234981,FALSE
130,GSM672088,ctrl,GSE27202,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.975301998,FALSE
131,GSM672094,ctrl,GSE27202,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.96285844,FALSE
132,GSM672095,ctrl,GSE27202,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.963969095,FALSE
133,GSM672096,ctrl,GSE27202,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.959869074,FALSE
134,GSM1230701,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.847879449,NA
135,GSM1230702,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.797867022,NA
136,GSM1230703,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.914292454,NA
137,GSM359539,ctrl,GSE14383,GPL570,dimethyl sulfide|dimethyl sulfoxide|solvent,0,Bronchial|Cells [Chemical/Ingredient]|Epithelial Cells,414,epithelial cell,,female,0.532951343,FALSE
138,GSM359540,ctrl,GSE14383,GPL570,dimethyl sulfide|dimethyl sulfoxide|solvent,0,Bronchial|Cells [Chemical/Ingredient]|Epithelial Cells,414,epithelial cell,,female,0.600994512,FALSE
